x,g1,g2,g3,g4,g5
-0.195,0.142939875,0.094189875,0.069814875,0.045439875,-0.003310125
-0.194,0.141937384,0.093437384,0.069187384,0.044937384,-0.003562616
-0.193,0.140938057,0.092688057,0.068563057,0.044438057,-0.003811943
-0.192,0.139941888,0.091941888,0.067941888,0.043941888,-0.004058112
-0.191,0.138948871,0.091198871,0.067323871,0.043448871,-0.004301129
-0.19,0.137959,0.090459,0.066709,0.042959,-0.004541
-0.189,0.136972269,0.089722269,0.066097269,0.042472269,-0.004777731
-0.188,0.135988672,0.088988672,0.065488672,0.041988672,-0.005011328
-0.187,0.135008203,0.088258203,0.064883203,0.041508203,-0.005241797
-0.186,0.134030856,0.087530856,0.064280856,0.041030856,-0.005469144
-0.185,0.133056625,0.086806625,0.063681625,0.040556625,-0.005693375
-0.184,0.132085504,0.086085504,0.063085504,0.040085504,-0.005914496
-0.183,0.131117487,0.085367487,0.062492487,0.039617487,-0.006132513
-0.182,0.130152568,0.084652568,0.061902568,0.039152568,-0.006347432
-0.181,0.129190741,0.083940741,0.061315741,0.038690741,-0.006559259
-0.18,0.128232,0.083232,0.060732,0.038232,-0.006768
-0.179,0.127276339,0.082526339,0.060151339,0.037776339,-0.006973661
-0.178,0.126323752,0.081823752,0.059573752,0.037323752,-0.007176248
-0.177,0.125374233,0.081124233,0.058999233,0.036874233,-0.007375767
-0.176,0.124427776,0.080427776,0.058427776,0.036427776,-0.007572224
-0.175,0.123484375,0.079734375,0.057859375,0.035984375,-0.007765625
-0.174,0.122544024,0.079044024,0.057294024,0.035544024,-0.007955976
-0.173,0.121606717,0.078356717,0.056731717,0.035106717,-0.008143283
-0.172,0.120672448,0.077672448,0.056172448,0.034672448,-0.008327552
-0.171,0.119741211,0.076991211,0.055616211,0.034241211,-0.008508789
-0.17,0.118813,0.076313,0.055063,0.033813,-0.008687
-0.169,0.117887809,0.075637809,0.054512809,0.033387809,-0.008862191
-0.168,0.116965632,0.074965632,0.053965632,0.032965632,-0.009034368
-0.167,0.116046463,0.074296463,0.053421463,0.032546463,-0.009203537
-0.166,0.115130296,0.073630296,0.052880296,0.032130296,-0.009369704
-0.165,0.114217125,0.072967125,0.052342125,0.031717125,-0.009532875
-0.164,0.113306944,0.072306944,0.051806944,0.031306944,-0.009693056
-0.163,0.112399747,0.071649747,0.051274747,0.030899747,-0.009850253
-0.162,0.111495528,0.070995528,0.050745528,0.030495528,-0.010004472
-0.161,0.110594281,0.070344281,0.050219281,0.030094281,-0.010155719
-0.16,0.109696,0.069696,0.049696,0.029696,-0.010304
-0.159,0.108800679,0.069050679,0.049175679,0.029300679,-0.010449321
-0.158,0.107908312,0.068408312,0.048658312,0.028908312,-0.010591688
-0.157,0.107018893,0.067768893,0.048143893,0.028518893,-0.010731107
-0.156,0.106132416,0.067132416,0.047632416,0.028132416,-0.010867584
-0.155,0.105248875,0.066498875,0.047123875,0.027748875,-0.011001125
-0.154,0.104368264,0.065868264,0.046618264,0.027368264,-0.011131736
-0.153,0.103490577,0.065240577,0.046115577,0.026990577,-0.011259423
-0.152,0.102615808,0.064615808,0.045615808,0.026615808,-0.011384192
-0.151,0.101743951,0.063993951,0.045118951,0.026243951,-0.011506049
-0.15,0.100875,0.063375,0.044625,0.025875,-0.011625
-0.149,0.100008949,0.062758949,0.044133949,0.025508949,-0.011741051
-0.148,0.099145792,0.062145792,0.043645792,0.025145792,-0.011854208
-0.147,0.098285523,0.061535523,0.043160523,0.024785523,-0.011964477
-0.146,0.097428136,0.060928136,0.042678136,0.024428136,-0.012071864
-0.145,0.096573625,0.060323625,0.042198625,0.024073625,-0.012176375
-0.144,0.095721984,0.059721984,0.041721984,0.023721984,-0.012278016
-0.143,0.094873207,0.059123207,0.041248207,0.023373207,-0.012376793
-0.142,0.094027288,0.058527288,0.040777288,0.023027288,-0.012472712
-0.141,0.093184221,0.057934221,0.040309221,0.022684221,-0.012565779
-0.14,0.092344,0.057344,0.039844,0.022344,-0.012656
-0.139,0.091506619,0.056756619,0.039381619,0.022006619,-0.012743381
-0.138,0.090672072,0.056172072,0.038922072,0.021672072,-0.012827928
-0.137,0.089840353,0.055590353,0.038465353,0.021340353,-0.012909647
-0.136,0.089011456,0.055011456,0.038011456,0.021011456,-0.012988544
-0.135,0.088185375,0.054435375,0.037560375,0.020685375,-0.013064625
-0.134,0.087362104,0.053862104,0.037112104,0.020362104,-0.013137896
-0.133,0.086541637,0.053291637,0.036666637,0.020041637,-0.013208363
-0.132,0.085723968,0.052723968,0.036223968,0.019723968,-0.013276032
-0.131,0.084909091,0.052159091,0.035784091,0.019409091,-0.013340909
-0.13,0.084097,0.051597,0.035347,0.019097,-0.013403
-0.129,0.083287689,0.051037689,0.034912689,0.018787689,-0.013462311
-0.128,0.082481152,0.050481152,0.034481152,0.018481152,-0.013518848
-0.127,0.081677383,0.049927383,0.034052383,0.018177383,-0.013572617
-0.126,0.080876376,0.049376376,0.033626376,0.017876376,-0.013623624
-0.125,0.080078125,0.048828125,0.033203125,0.017578125,-0.013671875
-0.124,0.079282624,0.048282624,0.032782624,0.017282624,-0.013717376
-0.123,0.078489867,0.047739867,0.032364867,0.016989867,-0.013760133
-0.122,0.077699848,0.047199848,0.031949848,0.016699848,-0.013800152
-0.121,0.076912561,0.046662561,0.031537561,0.016412561,-0.013837439
-0.12,0.076128,0.046128,0.031128,0.016128,-0.013872
-0.119,0.075346159,0.045596159,0.030721159,0.015846159,-0.013903841
-0.118,0.074567032,0.045067032,0.030317032,0.015567032,-0.013932968
-0.117,0.073790613,0.044540613,0.029915613,0.015290613,-0.013959387
-0.116,0.073016896,0.044016896,0.029516896,0.015016896,-0.013983104
-0.115,0.072245875,0.043495875,0.029120875,0.014745875,-0.014004125
-0.114,0.071477544,0.042977544,0.028727544,0.014477544,-0.014022456
-0.113,0.070711897,0.042461897,0.028336897,0.014211897,-0.014038103
-0.112,0.069948928,0.041948928,0.027948928,0.013948928,-0.014051072
-0.111,0.069188631,0.041438631,0.027563631,0.013688631,-0.014061369
-0.11,0.068431,0.040931,0.027181,0.013431,-0.014069
-0.109,0.067676029,0.040426029,0.026801029,0.013176029,-0.014073971
-0.108,0.066923712,0.039923712,0.026423712,0.012923712,-0.014076288
-0.107,0.066174043,0.039424043,0.026049043,0.012674043,-0.014075957
-0.106,0.065427016,0.038927016,0.025677016,0.012427016,-0.014072984
-0.105,0.064682625,0.038432625,0.025307625,0.012182625,-0.014067375
-0.104,0.063940864,0.037940864,0.024940864,0.011940864,-0.014059136
