x,g
-0.246,0.287966877744
-0.244,0.285464680704
-0.242,0.282961769904
-0.24,0.28045824
-0.238,0.277954185264
-0.236,0.275449699584
-0.234,0.272944876464
-0.232,0.270439809024
-0.23,0.26793459
-0.228,0.265429311744
-0.226,0.262924066224
-0.224,0.260418945024
-0.222,0.257914039344
-0.22,0.25540944
-0.218,0.252905237424
-0.216,0.250401521664
-0.214,0.247898382384
-0.212,0.245395908864
-0.21,0.24289419
-0.208,0.240393314304
-0.206,0.237893369904
-0.204,0.235394444544
-0.202,0.232896625584
-0.2,0.2304
-0.198,0.227904654384
-0.196,0.225410674944
-0.194,0.222918147504
-0.192,0.220427157504
-0.19,0.21793779
-0.188,0.215450129664
-0.186,0.212964260784
-0.184,0.210480267264
-0.182,0.207998232624
-0.18,0.20551824
-0.178,0.203040372144
-0.176,0.200564711424
-0.174,0.198091339824
-0.172,0.195620338944
-0.17,0.19315179
-0.168,0.190685773824
-0.166,0.188222370864
-0.164,0.185761661184
-0.162,0.183303724464
-0.16,0.18084864
-0.158,0.178396486704
-0.156,0.175947343104
-0.154,0.173501287344
-0.152,0.171058397184
-0.15,0.16861875
-0.148,0.166182422784
-0.146,0.163749492144
-0.144,0.161320034304
-0.142,0.158894125104
-0.14,0.15647184
-0.138,0.154053254064
-0.136,0.151638441984
-0.134,0.149227478064
-0.132,0.146820436224
-0.13,0.14441739
-0.128,0.142018412544
-0.126,0.139623576624
-0.124,0.137232954624
-0.122,0.134846618544
-0.12,0.13246464
-0.118,0.130087090224
-0.116,0.127714040064
-0.114,0.125345559984
-0.112,0.122981720064
-0.11,0.12062259
-0.108,0.118268239104
-0.106,0.115918736304
-0.104,0.113574150144
-0.102,0.111234548784
-0.1,0.1089
-0.098,0.106570571184
-0.096,0.104246329344
-0.094,0.101927341104
-0.092,0.099613672704
-0.09,0.09730539
-0.088,0.095002558464
-0.086,0.092705243184
-0.084,0.090413508864
-0.082,0.088127419824
-0.08,0.08584704
-0.078,0.083572432944
-0.076,0.081303661824
-0.074,0.079040789424
-0.072,0.076783878144
-0.07,0.07453299
-0.068,0.072288186624
-0.066,0.070049529264
-0.064,0.067817078784
-0.062,0.065590895664
-0.06,0.06337104
-0.058,0.061157571504
-0.056,0.058950549504
-0.054,0.056750032944
-0.052,0.054556080384
-0.05,0.05236875
-0.048,0.050188099584
-0.046,0.048014186544
-0.044,0.045847067904
-0.042,0.043686800304
-0.04,0.04153344
-0.038,0.039387042864
-0.036,0.037247664384
