t,fF,fC,fS
-1.527,0.229561890105546,0.223317890674409,0.227283017118077
-1.524,0.230690857876197,0.226197953597699,0.234002637696044
-1.521,0.230908015462132,0.229118184801278,0.240344997702204
-1.518,0.230814063637296,0.232075587384115,0.246105923710566
-1.515,0.231083415722764,0.235066031396154,0.251113979048972
-1.512,0.232311640449865,0.238084481775034,0.255240620869065
-1.509,0.234880879379609,0.241125280409581,0.258407982796031
-1.506,0.238873605736241,0.244182466605111,0.260593815420989
-1.503,0.244054158547452,0.247250117881203,0.261833275580092
-1.5,0.249922180167996,0.250322691702547,0.262217433135791
-1.497,0.255825858017269,0.253395348512961,0.261888550850309
-1.494,0.261109379472592,0.256464237334715,0.26103237832588
-1.491,0.265261291636319,0.259526727169107,0.259867874277959
-1.488,0.268030253300919,0.262581570386797,0.258634922598805
-1.485,0.269482020972318,0.265628988067887,0.257580727921733
-1.482,0.269984767932547,0.268670671634075,0.25694565855729
-1.479,0.270126008725379,0.271709699863446,0.256949343693541
-1.476,0.270579846588956,0.27475037522462,0.257777824999307
-1.473,0.271954495517395,0.277797988134673,0.259572510191419
-1.47,0.274654515076507,0.280858521965981,0.262421580287395
-1.467,0.27878891603406,0.283938315155015,0.266354368215845
-1.464,0.284145978419369,0.287043699392682,0.271339061477794
-1.461,0.290240587566615,0.290180634441809,0.277283894755383
-1.458,0.296423521908236,0.293354360532665,0.28404180019565
-1.455,0.302028109346132,0.296569088496966,0.29141828475244
-1.452,0.306521173506396,0.299827745847707,0.299182116767401
-1.449,0.309624145364702,0.303131793995832,0.307078238708416
-1.446,0.311376872654595,0.30648112787672,0.314842189317803
-1.443,0.312129536130129,0.309874064654082,0.322215224308976
-1.44,0.312464288963677,0.313307423132025,0.328959275974666
-1.437,0.313064125252067,0.316776690321133,0.334870891895709
-1.434,0.314558468722306,0.320276266565925,0.339793341897478
-1.431,0.317380335733765,0.323799776038723,0.343626178229632
-1.428,0.32166743471349,0.32734042550645,0.346331671689861
-1.425,0.327229751867909,0.330891391312787,0.347937718679876
-1.422,0.33359122820978,0.334446212668359,0.348537011532318
-1.419,0.340096409590119,0.337999168724425,0.348282475909802
-1.416,0.346058218107406,0.341545617570339,0.347379192755588
-1.413,0.350913585283915,0.345082277218686,0.346073226014606
-1.41,0.354351753013435,0.348607431729239,0.344637959415695
-1.407,0.356386059124632,0.352121049711211,0.343358695382873
-1.404,0.357352661413827,0.355624807311083,0.342516377710295
-1.401,0.357836096302266,0.359122013172009,0.342371360318455
-1.398,0.358538121813224,0.362617438439538,0.343148153177725
-1.395,0.360119220670152,0.366117060370702,0.345022032213612
-1.392,0.363048497622471,0.369627733165058,0.34810830457129
-1.389,0.367496021129216,0.373156803983107,0.352454878820973
-1.386,0.373292265627438,0.3767116954923,0.358038609029155
-1.383,0.379964281684424,0.380299478478947,0.364765671902557
-1.38,0.386840917417304,0.383926458945031,0.372476009002345
-1.377,0.393203730950533,0.387597803605052,0.380951634035319
-1.374,0.398449725627101,0.391317225820107,0.389928381596779
-1.371,0.4022291180611,0.395086750843511,0.39911047130062
-1.368,0.404526728597326,0.398906574967542,0.408187091781056
-1.365,0.40566810957284,0.402775027983671,0.416850082663653
-1.362,0.406248421725155,0.406688642581782,0.424811717045253
-1.359,0.406999548001291,0.410642328239151,0.431821567276157
-1.356,0.408625050204701,0.414629641129318,0.437681474787785
-1.353,0.411640108509521,0.418643135958533,0.442257738991969
-1.35,0.416252778121529,0.422674780739017,0.445489786319422
-1.347,0.422313861644698,0.426716411623369,0.44739477069286
-1.344,0.429347400484262,0.430760202288876,0.448067780964392
-1.341,0.436655635898316,0.434799121142538,0.447677576837665
-1.338,0.443475358585836,0.438827349907613,0.446458028888553
-1.335,0.449150695543991,0.442840638956093,0.44469568618619
-1.332,0.453283307901028,0.446836577988978,0.442714122537324
-1.329,0.455825692471024,0.450814765174881,0.440855906316924
-1.326,0.457095814752932,0.454776863400317,0.439463187699324
-1.323,0.457708897843164,0.458726538562695,0.438857991740022
-1.32,0.458440923620479,0.462669281503921,0.439323339981703
-1.317,0.460054044669613,0.466612121865768,0.441086294194186
-1.314,0.463123085099112,0.470563248467932,0.444303924165433
-1.311,0.467902518968497,0.474531556401098,0.449053051346254
-1.308,0.474264607604162,0.478526145560698,0.455324419187155
-1.305,0.481723616491319,0.482555798547415,0.463021699753187
-1.302,0.48954169958309,0.486628467524071,0.471965477664084
-1.299,0.496893464015099,0.490750799624965,0.481902071331404
-1.296,0.503052623600923,0.494927728834601,0.492516773545335
-1.293,0.507558656928671,0.499162158954471,0.503450834471932
-1.29,0.510325354001675,0.503454757518174,0.514321285019212
-1.287,0.511665792121147,0.507803874541021,0.524742520618995
-1.284,0.512226880947765,0.512205593117608,0.534348445616704
-1.281,0.512847031799506,0.516653911483132,0.542813924445284
-1.278,0.514368143034592,0.521141048641089,0.549874301791773
-1.275,0.517443920700434,0.525657858455018,0.555341840389288
-1.272,0.522388021435995,0.530194330618663,0.559118078275123
-1.269,0.52909714088012,0.534740151537816,0.561201319924381
-1.266,0.537067718626881,0.539285294203493,0.561688736709511
-1.263,0.545503987854654,0.543820603860698,0.560772847845756
-1.26,0.553494332738806,0.548338345841042,0.558732467362674
-1.257,0.560217031875682,0.55283268339124,0.555918518356099
-1.254,0.565129136256747,0.557300056648009,0.552735415091838
-1.251,0.568095257726296,0.561739438932558,0.549618979309904
-1.248,0.569425919691743,0.566152453015809,0.547012073727846
-1.245,0.569815103190276,0.57054333760295,0.54533929012837
-1.242,0.570189312023194,0.574918762597625,0.544982111632012
-1.239,0.571500794438906,0.579287500278688,0.546255972732268
-1.236,0.574510855227728,0.583659967878687,0.549390564588069
-1.233,0.579612331078964,0.588047664718074,0.554514579536548
-1.23,0.586732379968348,0.592462533576678,0.561645864785118
-1.227,0.595339330287246,0.596916280982206,0.570687671808494
-1.224,0.604554198296661,0.601419694250002,0.581431359687069
-1.221,0.613343732923587,0.605981994200629,0.593565554843736
-1.218,0.620752845616017,0.610610261403983,0.606691405619598
-1.215,0.626124427777055,0.615308970561461,0.620343217986936
-1.212,0.629256273100347,0.620079662372377,0.634013438308289
-1.209,0.630457969605205,0.624920775184497,0.647180678956284
-1.206,0.630492484755875,0.629827650253071,0.659339278968298
-1.203,0.630412988811426,0.634792714967288,0.670028767558954
-1.2,0.631329497718456,0.63980583845204,0.678861561991304
-1.197,0.634156690627489,0.644854844059249,0.685547287091601
-1.194,0.639399803371313,0.649926153979502,0.689912250678175
-1.191,0.647028292292545,0.655005533063399,0.691912841418754
-1.188,0.656468317091895,0.660078892424642,0.691641922370404
-1.185,0.66671893344658,0.665133108907346,0.689327659595312
-1.182,0.676568934618875,0.670156814340343,0.685324632083937
-1.179,0.684867804626846,0.675141108852671,0.680097495392018
-1.176,0.690790666191723,0.680080155434807,0.674197893989549
-1.173,0.694036760045268,0.684971618307995,0.668235713060865
-1.17,0.694914322491862,0.689816915280324,0.662846107026475
-1.167,0.694289111609454,0.694621263765578,0.658654019158522
-1.164,0.693404083567999,0.699393511049844,0.656238097391586
-1.161,0.69360718543,0.704145751152628,0.656096003114824
-1.158,0.696046239457084,0.708892742623779,0.65861309474088
-1.155,0.701399255969812,0.713651153195356,0.664036344121735
-1.152,0.709702723339308,0.718438667724588,0.672455115166667
-1.149,0.720320308340269,0.723273004715485,0.683790109793638
-1.146,0.732064025107396,0.728170893361353,0.69779138145255
-1.143,0.743445796628296,0.73314706708063,0.714045850425657
-1.14,0.753006994574053,0.738213330625347,0.731994251221382
-1.137,0.75965395653291,0.743377755874636,0.750956926521483
-1.134,0.762923425884196,0.748644056394477,0.770167381497517
-1.131,0.763114806897525,0.754011182922188,0.788812053943518
-1.128,0.761253791733437,0.759473171451482,0.806074365092165
-1.125,0.758888639688429,0.765019263027759,0.82118081578061
-1.122,0.75775828373347,0.770634300313624,0.83344670121943
-1.119,0.759402060222528,0.776299391147015,0.842318948168101
-1.116,0.764797059445072,0.781992814445177,0.847413637963487
-1.113,0.774106665952401,0.787691129687267,0.848545968167241
-1.11,0.786602564553925,0.79337043859961,0.845750718451871
-1.107,0.800786279028298,0.799007737277436,0.839291710039657
-1.104,0.814692607312805,0.804582289417004,0.82965926380995
-1.101,0.82631551384385,0.81007694708588,0.81755524616274
-1.098,0.834066514760319,0.815479344853524,0.803865915851014
-1.095,0.837163643126088,0.820782896289046,0.789623418522439
-1.092,0.835859239032438,0.825987528768677,0.775957386679504
-1.089,0.831445901675058,0.831100102991454,0.76403865960681
-1.086,0.826026147183589,0.836134477162757,0.755017610963522
-1.083,0.822083233833195,0.841111191889151,0.749959935186103
-1.08,0.821937143933056,0.846056769709898,0.74978297651638
-1.077,0.827200379664418,0.851002642037324,0.755195771383178
-1.074,0.838355491606628,0.855983735187295,0.766645908009093
-1.071,0.85455724861994,0.86103676522403,0.78427608597092
-1.068,0.873719723927331,0.866198307611828,0.807892890155026
-1.065,0.892890165374019,0.87150272131704,0.8369497926961
-1.062,0.908848962897131,0.876980017301894,0.870545784484435
-1.059,0.918821434429991,0.882653767709987,0.907440341975338
-1.056,0.921154422882541,0.88853915405167,0.946084687262223
-1.053,0.915806964899989,0.894641250148768,0.984668534730487
-1.05,0.904532050024367,0.900953628499984,1.02118077257535
-1.047,0.890681813766998,0.907457367307721,1.05348183818667
-1.044,0.878641583262905,0.914120520102265,1.07938494689814
-1.041,0.872975067514359,0.920898091342144,1.0967428540699
-1.038,0.87742824290195,0.927732540357789,1.10353649577892
-1.035,0.89397932806981,0.934554813467124,1.09796168176128
-1.032,0.922127338527925,0.941285881041117,1.07851001632487
-1.029,0.958579248865254,0.947838733788823,1.04404040117881
-1.026,0.997430285751028,0.954120771608892,0.993837822557434
-1.023,1.03084453689279,0.960036500000924,0.927656629518348
-1.02,1.0501498019172,0.965490434120892,0.845746149148581
-1.017,1.04717906640086,0.970390099824464,0.748857229315072
-1.014,1.01563711042507,0.97464901500854,0.638229116960583
-1.011,0.952255701635474,0.978189533559155,0.51555693249452
-1.008,0.857528601476772,0.980945438337147,0.38294084935489
-1.005,0.735884228359677,0.982864178739151,0.242818893067571
-1.002,0.595247848001749,0.983908662087113,0.097885998677794
-0.999,0.446049815689353,0.984058525836603,-0.0489974245099235
-0.996,0.299832661714537,0.983310838576724,-0.194903704896395
-0.993,0.167680030003616,0.981680201094834,-0.336938879102869
-0.99,0.0587217039814752,0.979198243361084,-0.472342279770123
-0.987,-0.0210445812220173,0.975912538054639,-0.598580661092747
-0.984,-0.0694296156671422,0.971884975100107,-0.713433026192099
-0.981,-0.0881302509347527,0.967189663547265,-0.815062734589615
-0.978,-0.0822142354759965,0.961910446040597,-0.902074033299451
-0.975,-0.0591189359990539,0.956138126256515,-0.973550844971509
-0.972,-0.0273496903560408,0.949967520381337,-1.02907642887971
-0.969,0.0048923450159456,0.943494449514787,-1.06873336896126
-0.966,0.0309210092691893,0.936812790591276,-1.09308419871805
-0.963,0.0464220518220579,0.930011699029898,-1.10313380615931
-0.96,0.0498356206608344,0.923173107102997,-1.10027553496939
-0.957,0.0422342191383011,0.916369588421573,-1.08622357572467
-0.954,0.026757490251492,0.909662661639755,-1.06293479303081
-0.951,0.00774074450650625,0.903101586309493,-1.03252353686833
-0.948,-0.0102795401267559,0.896722681722715,-0.997173222469982
-0.945,-0.0234902441953723,0.890549176590722,-0.959048523987919
-0.942,-0.0294899802415724,0.884591574585594,-0.920211912693869
-0.939,-0.0276316258716337,0.87884849913952,-0.882547988448021
-0.936,-0.0189831684725029,0.87330796142674,-0.847698619463822
-0.933,-0.00594709751616956,0.86794897898481,-0.817011342761444
-0.93,0.00835792905477178,0.862743459657882,-0.791502814722195
-0.927,0.0208101953190227,0.857658256969813,-0.771838370759483
-0.924,0.0289412597348221,0.852657298958008,-0.758327990940442
-0.921,0.0314059610269877,0.847703693000811,-0.75093821099524
-0.918,0.0281830892616444,0.842761714115508,-0.749318801257949
-0.915,0.0204841124709146,0.837798593245948,-0.752842392839637
-0.912,0.0104086800113388,0.832786034667233,-0.760654689738392
-0.909,0.000435411495979254,0.82770140711985,-0.771732491141905
-0.906,-0.00713479597580902,0.822528570835736,-0.784946476818087
-0.903,-0.0106628127430127,0.81725832134223,-0.79912558988254
-0.9,-0.00948471977067861,0.811888449899933,-0.813119887415919
-0.897,-0.00399807037656941,0.806423438730916,-0.825858914823772
-0.894,0.00448459697526904,0.800873825963498,-0.836402981748091
-0.891,0.0140710244057934,0.795255289694227,-0.843985156594832
-0.888,0.0227315397601592,0.789587512113505,-0.848042328824337
-0.885,0.028748033664422,0.783892892785391,-0.84823428451858
-0.882,0.0310727855625296,0.778195184621025,-0.844450370312896
-0.879,0.0295242726251001,0.772518126735476,-0.836803951547846
-0.876,0.0247854762853117,0.766884145317253,-0.825615471131025
-0.873,0.0182142211425895,0.761313187137956,-0.811385457010329
-0.87,0.011515123660103,0.755821740820416,-0.794759282915517
-0.867,0.0063504128405874,0.750422089039894,-0.77648583854808
-0.864,0.00397679717922494,0.745121821133528,-0.757372496909803
-0.861,0.00498628191548722,0.739923620886932,-0.738238869596002
-0.858,0.00920313475321088,0.734825329332735,-0.719871813984035
-0.855,0.0157532220328621,0.729820268002472,-0.702984004310025
-0.852,0.0232838331431856,0.724897794940553,-0.688178112881838
-0.849,0.0302801836620843,0.720044054552309,-0.675918284895188
-0.846,0.0354057164532728,0.715242873537751,-0.666510151829247
-0.843,0.0377907772770485,0.710476749140397,-0.660090138886032
-0.84,0.0372082029933546,0.705727872943056,-0.656624308108627
-0.837,0.0341012314459445,0.700979133533765,-0.655916467966671
-0.834,0.0294626492267536,0.696215044447001,-0.65762479880448
-0.831,0.0245967263705219,0.691422549606762,-0.661285815897382
-0.828,0.0208201632976585,0.6865916666718,-0.666344138851407
-0.825,0.0191698633459342,0.681715938709315,-0.672186274201469
-0.822,0.0201817184850527,0.676792675917967,-0.678176458637536
